Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
0                0                0                0                0                95637            33212            3224             28081            34383            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9553571        0.9870431        0.9992244        0.9904861        0.9850977        
0                0                0                0                0                81546            27243            2254             22586            28726            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9635117        0.9897674        0.9994498        0.9927447        0.9879703        
0                0                0                0                0                68806            21956            1663             17689            23618            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9703923        0.9919630        0.9996161        0.9945136        0.9903321        
0                0                0                0                0                57655            17586            1206             13734            19603            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9761578        0.9937216        0.9997367        0.9958870        0.9922924        
0                0                0                0                0                47405            14175            813              10520            15835            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9808983        0.9951391        0.9998180        0.9969390        0.9938759        
0                0                0                0                0                39367            11195            569              7903             12972            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9848350        0.9962586        0.9998749        0.9977293        0.9951731        
0                0                0                0                0                32239            8755             433              6115             10534            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9880589        0.9971341        0.9999182        0.9983408        0.9962265        
0                0                0                0                0                25903            6977             296              4503             8319             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9906492        0.9978318        0.9999478        0.9987911        0.9970584        
0                0                0                0                0                20724            5314             184              3415             6619             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9927216        0.9983632        0.9999662        0.9991326        0.9977203        
0                0                0                0                0                16425            4096             124              2485             5227             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9943641        0.9987728        0.9999786        0.9993811        0.9982430        
0                0                0                0                0                13172            3130             64               1782             4142             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9956813        0.9990858        0.9999850        0.9995593        0.9986572        
0                0                0                0                0                10431            2385             57               1309             3250             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9967244        0.9993243        0.9999907        0.9996902        0.9989822        
0                0                0                0                0                7966             1787             39               891              2474             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9975210        0.9995030        0.9999946        0.9997793        0.9992296        
0                0                0                0                0                6069             1334             15               671              1907             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9981279        0.9996364        0.9999961        0.9998464        0.9994203        
0                0                0                0                0                4760             1019             11               501              1400             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9986039        0.9997383        0.9999972        0.9998965        0.9995603        
0                0                0                0                0                3617             726              9                293              1155             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9989656        0.9998109        0.9999981        0.9999258        0.9996758        
0                0                0                0                0                2764             526              5                230              822              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9992420        0.9998635        0.9999986        0.9999488        0.9997580        
0                0                0                0                0                2108             421              4                172              651              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9994528        0.9999056        0.9999990        0.9999660        0.9998231        
0                0                0                0                0                1486             288              7                110              462              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9996014        0.9999344        0.9999997        0.9999770        0.9998693        
0                0                0                0                0                1145             208              1                78               358              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9997159        0.9999552        0.9999998        0.9999848        0.9999051        
0                0                0                0                0                801              134              1                50               269              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9997960        0.9999686        0.9999999        0.9999898        0.9999320        
0                0                0                0                0                585              93               0                32               184              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9998545        0.9999779        0.9999999        0.9999930        0.9999504        
0                0                0                0                0                422              70               0                25               120              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9998967        0.9999849        0.9999999        0.9999955        0.9999624        
0                0                0                0                0                293              49               0                18               98               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999260        0.9999898        0.9999999        0.9999973        0.9999722        
0                0                0                0                0                220              37               0                5                84               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999480        0.9999935        0.9999999        0.9999978        0.9999806        
0                0                0                0                0                186              18               0                5                52               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999666        0.9999953        0.9999999        0.9999983        0.9999858        
0                0                0                0                0                96               13               0                6                41               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999762        0.9999966        0.9999999        0.9999989        0.9999899        
0                0                0                0                0                82               10               0                3                25               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999844        0.9999976        0.9999999        0.9999992        0.9999924        
0                0                0                0                0                40               8                0                3                22               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999884        0.9999984        0.9999999        0.9999995        0.9999946        
0                0                0                0                0                41               9                1                2                22               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999925        0.9999993        1.0000000        0.9999997        0.9999968        
0                0                0                0                0                23               2                0                2                9                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999948        0.9999995        1.0000000        0.9999999        0.9999977        
0                0                0                0                0                19               1                0                1                10               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999967        0.9999996        1.0000000        1.0000000        0.9999987        
0                0                0                0                0                15               2                0                0                2                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999982        0.9999998        1.0000000        1.0000000        0.9999989        
0                0                0                0                0                5                0                0                0                3                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999987        0.9999998        1.0000000        1.0000000        0.9999992        
0                0                0                0                0                5                1                0                0                2                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999992        0.9999999        1.0000000        1.0000000        0.9999994        
0                0                0                0                0                5                0                0                0                2                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999997        0.9999999        1.0000000        1.0000000        0.9999996        
0                0                0                0                0                1                1                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999998        1.0000000        1.0000000        1.0000000        0.9999996        
0                0                0                0                0                1                0                0                0                2                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999999        1.0000000        1.0000000        1.0000000        0.9999998        
0                0                0                0                0                1                0                0                0                2                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        1.0000000        1.0000000        1.0000000        1.0000000        
0                0                0                0                0                0                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        1.0000000        1.0000000        1.0000000        1.0000000        
