edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
24.07            0                0                0                0                0                207299           82251            60954            52513            4                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8813405        0.9639030        0.9755224        0.9797414        0.9999993        
24.37            0                0                0                0                0                182929           69060            50281            42962            3                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8996334        0.9708090        0.9805505        0.9840376        0.9999996        
24.68            0                0                0                0                0                161868           57651            41063            35080            1                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9158202        0.9765741        0.9846568        0.9875456        0.9999997        
24.98            0                0                0                0                0                140991           47839            33537            27689            1                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9299193        0.9813580        0.9880105        0.9903145        0.9999998        
25.28            0                0                0                0                0                122081           38572            26811            22334            2                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9421274        0.9852152        0.9906916        0.9925479        1.0000000        
25.58            0                0                0                0                0                104150           31966            21380            17774            0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9525424        0.9884118        0.9928296        0.9943253        1.0000000        
25.89            0                0                0                0                0                88726            25612            17023            13749            0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9614150        0.9909730        0.9945319        0.9957002        1.0000000        
26.19            0                0                0                0                0                74543            20288            13241            10783            0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9688693        0.9930018        0.9958560        0.9967785        1.0000000        
26.49            0                0                0                0                0                62114            16361            10089            8129             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9750807        0.9946379        0.9968649        0.9975914        1.0000000        
26.80            0                0                0                0                0                50948            12732            8035             6250             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9801755        0.9959111        0.9976684        0.9982164        1.0000000        
27.10            0                0                0                0                0                41915            9922             6124             4696             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9843670        0.9969033        0.9982808        0.9986860        1.0000000        
27.40            0                0                0                0                0                34162            7769             4551             3601             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9877832        0.9976802        0.9987359        0.9990461        1.0000000        
27.70            0                0                0                0                0                27372            5937             3403             2714             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9905204        0.9982739        0.9990762        0.9993175        1.0000000        
28.01            0                0                0                0                0                21601            4481             2517             1865             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9926805        0.9987220        0.9993279        0.9995040        1.0000000        
28.31            0                0                0                0                0                17046            3367             1864             1453             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9943851        0.9990587        0.9995143        0.9996493        1.0000000        
28.61            0                0                0                0                0                13565            2534             1374             981              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9957416        0.9993121        0.9996517        0.9997474        1.0000000        
28.92            0                0                0                0                0                10575            1899             1000             726              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9967991        0.9995020        0.9997517        0.9998200        1.0000000        
29.22            0                0                0                0                0                7992             1395             737              561              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9975983        0.9996415        0.9998254        0.9998761        1.0000000        
29.52            0                0                0                0                0                6120             1045             503              364              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9982103        0.9997460        0.9998757        0.9999125        1.0000000        
29.82            0                0                0                0                0                4732             727              405              264              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9986835        0.9998187        0.9999162        0.9999389        1.0000000        
30.13            0                0                0                0                0                3487             543              273              190              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9990322        0.9998730        0.9999435        0.9999579        1.0000000        
30.43            0                0                0                0                0                2726             405              202              138              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9993048        0.9999135        0.9999637        0.9999717        1.0000000        
30.73            0                0                0                0                0                1965             268              121              86               0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9995013        0.9999403        0.9999758        0.9999803        1.0000000        
31.04            0                0                0                0                0                1411             201              70               68               0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9996424        0.9999604        0.9999828        0.9999871        1.0000000        
31.34            0                0                0                0                0                1069             118              53               39               0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9997493        0.9999722        0.9999881        0.9999910        1.0000000        
31.64            0                0                0                0                0                737              93               48               31               0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9998230        0.9999815        0.9999929        0.9999941        1.0000000        
31.94            0                0                0                0                0                539              57               23               18               0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9998769        0.9999872        0.9999952        0.9999959        1.0000000        
32.25            0                0                0                0                0                347              45               12               16               0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999116        0.9999917        0.9999964        0.9999975        1.0000000        
32.55            0                0                0                0                0                271              28               9                4                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999387        0.9999945        0.9999973        0.9999979        1.0000000        
32.85            0                0                0                0                0                193              18               8                5                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999580        0.9999963        0.9999981        0.9999984        1.0000000        
33.15            0                0                0                0                0                146              8                5                7                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999726        0.9999971        0.9999986        0.9999991        1.0000000        
33.46            0                0                0                0                0                95               10               4                1                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999821        0.9999981        0.9999990        0.9999992        1.0000000        
33.76            0                0                0                0                0                51               11               7                3                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999872        0.9999992        0.9999997        0.9999995        1.0000000        
34.06            0                0                0                0                0                43               2                1                4                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999915        0.9999994        0.9999998        0.9999999        1.0000000        
34.37            0                0                0                0                0                30               2                1                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999945        0.9999996        0.9999999        0.9999999        1.0000000        
34.67            0                0                0                0                0                17               2                0                1                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999962        0.9999998        0.9999999        1.0000000        1.0000000        
34.97            0                0                0                0                0                18               0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999980        0.9999998        0.9999999        1.0000000        1.0000000        
35.27            0                0                0                0                0                6                1                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999986        0.9999999        0.9999999        1.0000000        1.0000000        
35.58            0                0                0                0                0                6                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999992        0.9999999        0.9999999        1.0000000        1.0000000        
35.88            0                0                0                0                0                5                1                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999997        1.0000000        0.9999999        1.0000000        1.0000000        
36.18            0                0                0                0                0                1                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999998        1.0000000        0.9999999        1.0000000        1.0000000        
36.49            0                0                0                0                0                1                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999999        1.0000000        0.9999999        1.0000000        1.0000000        
36.79            0                0                0                0                0                1                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        1.0000000        0.9999999        1.0000000        1.0000000        
37.09            0                0                0                0                0                0                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        1.0000000        0.9999999        1.0000000        1.0000000        
37.39            0                0                0                0                0                0                0                1                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        1.0000000        1.0000000        1.0000000        1.0000000        
37.70            0                0                0                0                0                0                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        1.0000000        1.0000000        1.0000000        1.0000000        
38.00            0                0                0                0                0                0                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        1.0000000        1.0000000        1.0000000        1.0000000        
