x,0,pi_2,pi,2pi
440,72,62,51,50
441,74,61,51,51
442,76,64,51,51
443,76,65,49,51
444,76,67,48,50
445,78,69,48,50
446,78,68,44,47
447,79,68,43,45
448,84,68,44,47
449,82,69,49,52
450,80,71,48,51
451,75,67,46,50
452,69,65,46,48
453,68,62,45,47
454,66,63,44,46
455,63,60,44,45
456,60,56,42,40
457,59,54,45,43
458,56,52,45,39
459,56,47,42,37
460,51,44,40,33
461,51,43,37,29
462,47,39,35,27
463,45,40,35,28
464,49,39,38,33
465,47,37,37,31
466,51,39,42,36
467,49,39,41,35
468,50,44,40,35
469,50,43,39,35
470,48,44,42,38
471,45,41,39,38
472,43,42,39,37
473,45,42,39,36
474,43,40,38,35
475,45,44,40,36
476,46,48,43,41
477,50,52,47,42
478,47,48,47,41
479,51,50,45,38
480,47,48,47,36
481,50,51,46,39
482,53,56,48,39
483,52,54,49,42
484,52,54,51,45
485,56,53,50,42
486,57,52,49,44
487,58,56,50,42
488,58,52,47,39
489,57,50,49,39
490,58,51,47,38
491,59,55,45,43
492,61,56,47,40
493,64,59,49,39
494,64,56,47,39
495,64,56,51,40
496,65,54,48,39
497,65,53,48,38
498,61,49,46,36
499,63,49,46,40
500,65,52,44,41
501,66,52,41,39
502,69,53,45,44
503,76,60,48,48
504,82,63,51,50
505,87,66,52,54
506,88,67,51,53
507,87,67,49,53
508,91,70,52,53
509,91,69,49,49
510,93,69,47,47
511,94,68,46,45
512,100,69,49,48
513,97,71,53,54
514,93,71,52,51
515,88,68,50,50
516,82,66,51,48
517,77,61,47,46
518,73,61,45,44
519,70,58,44,41
520,65,54,42,36
521,65,50,46,39
522,64,51,49,38
523,64,49,48,37
524,59,46,46,34
525,60,46,44,31
526,57,43,42,30
527,52,43,40,29
528,56,42,42,34
529,54,42,43,35
530,59,42,50,37
531,56,42,48,35
532,57,45,48,36
533,57,45,48,37
534,53,43,49,38
535,53,42,47,40
536,50,41,45,39
537,50,43,45,39
538,50,42,45,38
539,51,43,46,39
540,51,49,48,43
541,53,52,52,45
542,52,50,53,44
543,54,52,50,41
544,53,50,55,42
545,54,53,54,44
546,57,57,53,42
547,57,56,54,46
548,54,55,55,48
549,59,55,55,46
550,60,55,53,48
551,64,59,54,46
552,63,56,50,42
553,62,54,50,41
554,62,55,47,40
555,63,59,45,45
556,67,60,47,43
557,69,63,49,42
558,68,61,46,40
559,70,61,50,43
560,70,60,48,41
561,72,60,49,39
562,69,55,46,36
563,70,55,45,41
564,71,58,43,41
565,74,60,39,39
566,77,63,43,45
567,85,69,45,46
568,91,72,47,47
569,95,73,48,50
570,96,74,48,49
571,96,73,46,48
572,100,76,48,48
573,103,79,48,47
574,106,80,46,45
575,108,81,46,43
576,112,81,47,46
577,110,81,52,50
578,107,84,50,48
579,101,80,48,48
580,95,79,50,46
581,89,76,47,45
582,87,76,46,42
583,85,75,46,41
584,80,72,43,37
585,77,67,47,40
586,76,66,49,39
587,77,64,49,39
588,72,61,46,36
589,73,62,46,32
590,70,60,45,31
591,64,59,43,31
592,68,57,44,36
593,66,56,45,36
594,71,57,51,38
595,67,56,51,36
596,67,59,50,36
597,66,57,50,37
598,61,53,52,36
599,61,53,49,38
600,59,54,44,39
601,59,56,44,41
602,58,55,45,39
603,55,54,46,39
604,53,59,45,44
605,58,63,51,48
606,57,60,49,46
607,58,62,50,41
608,57,60,55,43
609,57,61,54,44
610,60,65,52,42
611,61,63,55,46
612,59,62,56,48
613,64,63,56,47
614,66,61,54,48
615,66,62,54,49
616,66,59,50,44
617,66,56,50,43
618,65,58,48,41
619,68,63,46,46
620,72,64,48,44
621,75,67,50,43
622,74,66,48,41
623,76,66,53,43
624,77,66,52,42
625,78,65,52,41
626,76,61,50,39
627,77,61,49,44
628,80,65,46,43
629,84,67,40,41
630,88,70,45,46
631,95,75,45,49
632,103,78,47,48
633,106,80,49,50
634,105,79,48,49
635,106,80,48,48
636,111,83,50,51
637,115,86,49,49
638,119,88,48,49
639,120,87,48,46
640,124,87,47,49
641,120,88,52,52
642,117,90,51,49
643,112,87,49,50
644,106,85,52,48
645,100,83,51,48
646,98,83,50,46
647,97,82,51,45
648,91,79,49,41
649,87,71,50,43
650,85,70,53,43
651,86,68,54,43
652,80,64,51,43
653,81,65,52,40
654,76,62,50,38
655,70,61,48,38
656,73,59,49,43
657,71,58,50,43
658,74,57,54,44
659,67,56,53,41
660,67,58,51,41
661,67,57,53,43
662,58,52,52,41
663,57,50,49,41
664,54,49,43,41
665,55,54,45,43
666,54,53,46,41
667,52,53,47,42
668,49,56,45,46
669,54,60,51,50
670,55,60,50,48
671,56,62,52,44
672,56,60,57,46
673,56,62,55,47
674,58,65,53,46
675,56,60,53,48
676,58,62,58,52
677,63,64,58,50
678,63,59,52,48
679,65,62,54,49
680,65,58,50,46
681,65,55,50,44
682,66,59,49,43
683,70,65,48,48
684,72,64,48,45
685,72,63,47,41
686,72,63,45,39
687,74,65,53,44
688,74,64,51,42
689,76,63,52,40
690,75,61,52,41
691,76,62,50,44
692,77,65,46,42
693,79,65,40,41
694,82,67,42,43
695,87,69,42,45
696,92,69,43,45
697,96,72,47,48
698,95,72,46,48
699,96,73,48,49
700,100,76,50,50
701,103,79,50,49
702,110,84,52,51
703,109,81,49,47
704,113,82,49,49
705,110,82,55,53
706,108,84,53,50
707,104,81,51,51
708,99,81,55,51
709,94,78,53,48
710,90,77,51,45
711,89,77,51,42
712,85,78,53,42
713,83,71,52,43
714,81,71,55,45
715,81,69,57,47
716,76,65,53,47
717,75,65,53,45
718,69,61,50,42
719,66,61,50,43
720,69,60,52,47
721,67,58,52,47
722,70,58,55,47
