Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
0                0                0                0                0                315331           353543           365514           414835           323992           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.2884136        0.5490273        0.7345941        0.4589052        0.5678891        
0                0                0                0                0                331435           347683           340754           418528           318954           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.3215571        0.5837956        0.7686695        0.5007580        0.5997845        
0                0                0                0                0                345705           341177           314429           417035           310560           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.3561276        0.6179133        0.8001124        0.5424615        0.6308405        
0                0                0                0                0                357584           331265           285299           409589           302556           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.3918860        0.6510398        0.8286423        0.5834204        0.6610961        
0                0                0                0                0                364170           320174           257321           399802           291604           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.4283030        0.6830572        0.8543744        0.6234006        0.6902565        
0                0                0                0                0                368619           306092           230088           385750           278429           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.4651649        0.7136664        0.8773832        0.6619756        0.7180994        
0                0                0                0                0                371593           289733           201829           368112           265939           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.5023242        0.7426397        0.8975661        0.6987868        0.7446933        
0                0                0                0                0                370363           272060           177188           347919           251831           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.5393605        0.7698457        0.9152849        0.7335787        0.7698764        
0                0                0                0                0                365198           255152           151451           325589           236427           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.5758803        0.7953609        0.9304300        0.7661376        0.7935191        
0                0                0                0                0                357678           236930           129372           301223           220928           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.6116481        0.8190539        0.9433672        0.7962599        0.8156119        
0                0                0                0                0                346845           218772           110371           276263           205346           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.6463326        0.8409311        0.9544043        0.8238862        0.8361465        
0                0                0                0                0                335516           200739           91786            250940           188957           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.6798842        0.8610050        0.9635829        0.8489802        0.8550422        
