edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
29.54            0                0                0                0                0                19267            9904             5564             4044             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9932733        0.9964232        0.9981758        0.9987465        1.0000000        
29.86            0                0                0                0                0                14973            8063             4298             3164             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9947706        0.9972295        0.9986056        0.9990629        1.0000000        
30.18            0                0                0                0                0                12051            6277             3441             2394             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9959757        0.9978572        0.9989497        0.9993023        1.0000000        
30.49            0                0                0                0                0                9535             4993             2625             1824             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9969292        0.9983565        0.9992122        0.9994847        1.0000000        
30.81            0                0                0                0                0                7371             3821             2048             1347             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9976663        0.9987386        0.9994170        0.9996194        1.0000000        
31.13            0                0                0                0                0                5707             3091             1599             1010             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9982370        0.9990477        0.9995769        0.9997204        1.0000000        
31.44            0                0                0                0                0                4484             2481             1130             771              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9986854        0.9992958        0.9996899        0.9997975        1.0000000        
31.76            0                0                0                0                0                3349             1710             851              570              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9990203        0.9994668        0.9997750        0.9998545        1.0000000        
32.08            0                0                0                0                0                2633             1361             645              390              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9992836        0.9996029        0.9998395        0.9998935        1.0000000        
32.39            0                0                0                0                0                1853             1052             452              303              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9994689        0.9997081        0.9998847        0.9999238        1.0000000        
32.71            0                0                0                0                0                1461             719              307              205              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9996150        0.9997800        0.9999154        0.9999443        1.0000000        
33.03            0                0                0                0                0                1061             580              227              152              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9997211        0.9998380        0.9999381        0.9999595        1.0000000        
33.35            0                0                0                0                0                780              429              198              111              0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9997991        0.9998809        0.9999579        0.9999706        1.0000000        
33.66            0                0                0                0                0                548              317              143              84               0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9998539        0.9999126        0.9999722        0.9999790        1.0000000        
33.98            0                0                0                0                0                438              231              83               63               0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9998977        0.9999357        0.9999805        0.9999853        1.0000000        
34.30            0                0                0                0                0                308              170              51               39               0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999285        0.9999527        0.9999856        0.9999892        1.0000000        
34.61            0                0                0                0                0                222              155              52               37               0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999507        0.9999682        0.9999908        0.9999929        1.0000000        
34.93            0                0                0                0                0                139              90               34               23               0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999646        0.9999772        0.9999942        0.9999952        1.0000000        
35.25            0                0                0                0                0                120              63               17               19               0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999766        0.9999835        0.9999959        0.9999971        1.0000000        
35.56            0                0                0                0                0                87               41               10               10               0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999853        0.9999876        0.9999969        0.9999981        1.0000000        
35.88            0                0                0                0                0                43               40               10               6                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999896        0.9999916        0.9999979        0.9999987        1.0000000        
