edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_LINF         
29.50            0                0                0                0                15817            8338             4595             0                0.0000000        0.0000000        0.0000000        0.0000000        0.9926700        0.9961527        0.9980102        1.0000000        
29.75            0                0                0                0                13178            7036             3859             0                0.0000000        0.0000000        0.0000000        0.0000000        0.9939878        0.9968563        0.9983961        1.0000000        
30.00            0                0                0                0                10936            5619             3080             0                0.0000000        0.0000000        0.0000000        0.0000000        0.9950814        0.9974182        0.9987041        1.0000000        
30.25            0                0                0                0                9224             4758             2569             0                0.0000000        0.0000000        0.0000000        0.0000000        0.9960038        0.9978940        0.9989610        1.0000000        
30.50            0                0                0                0                7620             4102             2119             0                0.0000000        0.0000000        0.0000000        0.0000000        0.9967658        0.9983042        0.9991729        1.0000000        
30.75            0                0                0                0                6223             3247             1701             0                0.0000000        0.0000000        0.0000000        0.0000000        0.9973881        0.9986289        0.9993430        1.0000000        
31.00            0                0                0                0                5179             2624             1386             0                0.0000000        0.0000000        0.0000000        0.0000000        0.9979060        0.9988913        0.9994816        1.0000000        
31.25            0                0                0                0                4182             2146             1120             0                0.0000000        0.0000000        0.0000000        0.0000000        0.9983242        0.9991059        0.9995936        1.0000000        
31.50            0                0                0                0                3344             1775             871              0                0.0000000        0.0000000        0.0000000        0.0000000        0.9986586        0.9992834        0.9996807        1.0000000        
31.75            0                0                0                0                2691             1421             693              0                0.0000000        0.0000000        0.0000000        0.0000000        0.9989277        0.9994255        0.9997500        1.0000000        
32.00            0                0                0                0                2286             1163             548              0                0.0000000        0.0000000        0.0000000        0.0000000        0.9991563        0.9995418        0.9998048        1.0000000        
32.25            0                0                0                0                1765             909              437              0                0.0000000        0.0000000        0.0000000        0.0000000        0.9993328        0.9996327        0.9998485        1.0000000        
32.50            0                0                0                0                1454             748              325              0                0.0000000        0.0000000        0.0000000        0.0000000        0.9994782        0.9997075        0.9998810        1.0000000        
32.75            0                0                0                0                1147             586              266              0                0.0000000        0.0000000        0.0000000        0.0000000        0.9995929        0.9997661        0.9999076        1.0000000        
33.00            0                0                0                0                900              514              229              0                0.0000000        0.0000000        0.0000000        0.0000000        0.9996829        0.9998175        0.9999305        1.0000000        
33.25            0                0                0                0                725              430              183              0                0.0000000        0.0000000        0.0000000        0.0000000        0.9997554        0.9998605        0.9999488        1.0000000        
33.50            0                0                0                0                588              338              113              0                0.0000000        0.0000000        0.0000000        0.0000000        0.9998142        0.9998943        0.9999601        1.0000000        
33.75            0                0                0                0                429              262              103              0                0.0000000        0.0000000        0.0000000        0.0000000        0.9998571        0.9999205        0.9999704        1.0000000        
34.00            0                0                0                0                356              199              69               0                0.0000000        0.0000000        0.0000000        0.0000000        0.9998927        0.9999404        0.9999773        1.0000000        
34.25            0                0                0                0                269              150              51               0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999196        0.9999554        0.9999824        1.0000000        
34.50            0                0                0                0                174              100              43               0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999370        0.9999654        0.9999867        1.0000000        
34.75            0                0                0                0                148              75               30               0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999518        0.9999729        0.9999897        1.0000000        
35.00            0                0                0                0                119              62               19               0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999637        0.9999791        0.9999916        1.0000000        
35.25            0                0                0                0                80               43               21               0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999717        0.9999834        0.9999937        1.0000000        
35.50            0                0                0                0                70               53               12               0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999787        0.9999887        0.9999949        1.0000000        
